epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,132.058,0.44974,0.38384,0.92014,0.9445,0.96551,0.98058,0.92397,0.35538,0.30237,0.7888,0.000404375,0.000404375,0.000404375
43,134.486,0.43596,0.35892,0.92531,0.9557,1,0.995,0.93753,0.34197,0.26961,0.78723,0.00038375,0.00038375,0.00038375
44,136.994,0.44132,0.35724,0.92105,0.99287,0.99966,0.995,0.93481,0.33424,0.26531,0.78868,0.000363125,0.000363125,0.000363125
45,139.372,0.42705,0.35577,0.9069,0.99136,0.99832,0.995,0.92518,0.34573,0.25781,0.79033,0.0003425,0.0003425,0.0003425
46,142.571,0.43603,0.37051,0.92448,0.97589,1,0.995,0.9304,0.34246,0.26238,0.79226,0.000321875,0.000321875,0.000321875
47,145.017,0.42678,0.36586,0.92271,0.9339,1,0.99273,0.93763,0.32828,0.2759,0.78863,0.00030125,0.00030125,0.00030125
48,147.502,0.43705,0.36722,0.92905,0.90113,1,0.98364,0.91949,0.32986,0.30302,0.78278,0.000280625,0.000280625,0.000280625
49,149.884,0.42925,0.35082,0.93205,0.91893,0.99972,0.98591,0.91929,0.34265,0.29853,0.7841,0.00026,0.00026,0.00026
50,152.276,0.41032,0.33811,0.89845,0.94988,0.99653,0.99273,0.92171,0.35444,0.27835,0.78719,0.000239375,0.000239375,0.000239375
51,157.393,0.30055,0.26123,0.82851,0.98071,1,0.995,0.93282,0.33844,0.26137,0.7861,0.00021875,0.00021875,0.00021875
52,160.245,0.28086,0.2448,0.82457,0.98666,0.99616,0.995,0.92625,0.34524,0.2549,0.78629,0.000198125,0.000198125,0.000198125
53,162.528,0.29302,0.24373,0.81432,0.99067,0.98496,0.995,0.93068,0.34984,0.25547,0.78796,0.0001775,0.0001775,0.0001775
54,165.019,0.2653,0.22874,0.80553,0.90096,0.98211,0.98923,0.92363,0.35316,0.29234,0.78909,0.000156875,0.000156875,0.000156875
55,168.285,0.27586,0.2328,0.80986,0.92729,0.94444,0.97618,0.90807,0.34669,0.31911,0.78557,0.00013625,0.00013625,0.00013625
56,170.689,0.25928,0.22626,0.81081,0.926,0.94444,0.97021,0.92159,0.33832,0.31997,0.78381,0.000115625,0.000115625,0.000115625
57,173.002,0.25283,0.21937,0.7929,0.94376,0.92941,0.97046,0.9229,0.33362,0.31322,0.78323,9.5e-05,9.5e-05,9.5e-05
58,175.342,0.25674,0.22208,0.80576,0.96075,0.96461,0.98199,0.92856,0.33384,0.28691,0.78279,7.4375e-05,7.4375e-05,7.4375e-05
59,177.759,0.23805,0.2092,0.80071,0.96221,0.96236,0.98427,0.92183,0.328,0.27625,0.78177,5.375e-05,5.375e-05,5.375e-05
60,180.896,0.24554,0.21407,0.78841,0.95828,0.96063,0.98773,0.93409,0.3214,0.26723,0.77975,3.3125e-05,3.3125e-05,3.3125e-05
